Elaborado con datos a 17/11/2007,,
,EMISIÓN Madrid RMBS IV, FTA
(División por Vencimiento Residual),
,,
,VENCIMIENTO
TIPO ACTUAL
VENCIMIENTO INICIAL RESIDUAL
VENCIMIENTO SALDO PONDERADO Min. TIPO Máx. TIPO
NUM SALDO ACTUAL EUROS PONDERADO POR PONDERADO POR
RESIDUAL MESES ACTUAL % POR SALDO ACTUAL ACTUAL
SALDO INICIAL (meses) SALDO ACTUAL
ACTUAL
(meses),
,48,00 - 60,00 1 27,866.44 0.00 126 53 5.770 5.772 5.772
60,00 - 72,00 5 206,004.84 0.01 129 67 5.480 5.214 6.064
84,00 - 96,00 7 368,831.34 0.01 161 90 5.290 5.060 5.700
96,00 - 108,00 10 538,897.93 0.02 161 101 5.400 4.950 6.255
108,00 - 120,00 17 1,095,004.99 0.04 172 115 5.500 4.873 6.166
120,00 - 132,00 26 1,419,013.51 0.05 198 124 5.450 4.873 6.166
132,00 - 144,00 33 2,017,217.61 0.07 190 137 5.310 4.753 6.064
144,00 - 156,00 59 3,798,868.61 0.13 209 149 5.420 4.753 6.410
156,00 - 168,00 71 4,576,082.87 0.16 214 162 5.370 3.250 6.373
168,00 - 180,00 81 6,276,363.31 0.22 216 172 5.520 3.950 6.666
180,00 - 192,00 153 11,686,892.08 0.41 239 186 5.590 4.706 6.725
192,00 - 204,00 150 12,889,206.70 0.45 240 197 5.640 4.250 6.814
204,00 - 216,00 200 17,115,678.45 0.60 255 210 5.440 3.500 6.725
216,00 - 228,00 224 22,391,397.92 0.78 254 222 5.400 4.250 6.666
228,00 - 240,00 210 22,298,572.44 0.78 264 233 5.420 4.250 6.725
240,00 - 252,00 219 23,166,883.75 0.81 297 246 5.660 4.250 6.750
252,00 - 264,00 495 68,577,954.07 2.40 300 259 5.710 3.500 6.725
264,00 - 276,00 759 116,034,971.15 4.06 300 270 5.060 3.000 6.625
276,00 - 288,00 786 123,653,862.28 4.33 301 281 5.320 3.250 6.866
288,00 - 300,00 259 38,357,953.43 1.34 306 292 5.220 3.500 6.625
300,00 - 312,00 122 17,952,588.91 0.63 348 306 5.420 3.500 6.666
312,00 - 324,00 384 60,484,188.95 2.12 356 319 5.550 3.500 6.750
324,00 - 336,00 1,640 304,902,652.52 10.67 360 331 5.260 3.000 6.750
336,00 - 348,00 4,568 937,172,245.92 32.79 360 341 5.460 3.000 6.925
348,00 - 360,00 2,045 394,403,346.81 13.80 360 351 5.450 3.799 6.925
360,00 - 372,00 5 691,236.84 0.02 379 366 5.370 4.250 6.373
372,00 - 384,00 25 4,378,164.61 0.15 389 377 5.120 4.250 6.073
384,00 - 396,00 19 4,083,783.28 0.14 400 388 5.170 4.500 5.922
396,00 - 408,00 300 66,737,590.31 2.34 419 402 5.000 4.250 6.666
408,00 - 420,00 226 41,446,698.76 1.45 420 411 5.080 3.799 6.666
420,00 - 432,00 13 2,704,680.60 0.09 441 427 4.990 4.496 5.975
432,00 - 444,00 15 3,554,063.50 0.12 454 438 4.990 4.250 6.064
444,00 - 456,00 37 8,278,450.23 0.29 465 450 4.910 4.496 6.725
456,00 - 468,00 936 229,106,410.60 8.02 480 463 4.870 3.500 6.666
468,00 - 480,00 1,309 305,361,902.88 10.69 480 471 4.770 2.750 6.666,
,TOTALES 1 5,409 2,857,755,528.44 100 373 353 5.280 2.750 6.925,
,,
