Elab,,
,,
,EMISIÓN Madrid RMBS IV, FTA
(División por Saldo Actual),
,,
,VENCIMIENTO
TIPO ACTUAL
VENCIMIENTO INICIAL RESIDUAL
SALDO PONDERADO SALDO ACTUAL Min. TIPO Máx. TIPO
SALDO ACTUAL EUROS NUM SALDO ACTUAL EUROS PONDERADO POR PONDERADO POR
ACTUAL % POR SALDO MEDIO ACTUAL ACTUAL
SALDO INICIAL (meses) SALDO ACTUAL
ACTUAL
(meses),
,0,00 - 50.000,00 148 6,648,426.42 0.23 243 174 5.580 45,374.48 4.823 6.666
50.000,00 - 100.000,00 2221 172,788,917.07 6.05 304 270 5.470 80,296.64 3.250 6.875
100.000,00 - 150.000,00 2884 362,717,480.11 12.69 347 325 5.400 127,395.71 2.750 6.925
150.000,00 - 200.000,00 3740 656,615,905.76 22.98 364 343 5.300 176,758.88 3.000 6.775
200.000,00 - 250.000,00 3725 833,883,338.98 29.18 384 367 5.270 224,743.79 2.750 6.750
250.000,00 - 300.000,00 1719 465,402,121.13 16.29 396 381 5.250 271,464.33 3.000 6.750
300.000,00 - 350.000,00 551 176,749,693.84 6.18 400 384 5.130 321,372.77 2.750 6.625
350.000,00 - 400.000,00 235 87,332,764.85 3.06 397 381 5.090 372,240.75 2.750 6.725
400.000,00 - 450.000,00 86 36,088,142.16 1.26 401 384 5.040 420,182.64 3.799 6.564
450.000,00 - 500.000,00 37 17,316,779.00 0.61 393 378 5.060 468,378.21 4.250 6.475
500.000,00 - 550.000,00 28 14,582,535.12 0.51 383 368 4.960 521,216.15 3.799 5.416
550.000,00 - 600.000,00 10 5,743,788.10 0.20 336 313 5.120 574,679.40 4.653 5.505
600.000,00 - 650.000,00 6 3,761,854.36 0.13 380 365 4.960 627,245.20 4.250 5.373
650.000,00 - 700.000,00 3 2,002,065.42 0.07 340 320 4.220 667,422.28 3.000 5.056
700.000,00 - 750.000,00 3 2,164,542.50 0.08 379 367 5.010 721,780.45 4.803 5.203
750.000,00 - 800.000,00 4 3,055,062.39 0.11 375 352 4.880 764,117.67 4.723 5.056
800.000,00 - 850.000,00 2 1,631,874.24 0.06 330 306 4.700 816,156.87 4.653 4.753
850.000,00 - 900.000,00 2 1,718,516.39 0.06 300 274 5.290 859,296.67 4.703 5.875
1.100.000,00 - 1.150.000,00 1 1,110,841.60 0.04 300 284 4.760 1,110,841.60 4.763 4.763
1.250.000,00 - 1.300.000,00 1 1,259,343.81 0.04 360 340 5.010 1,259,343.81 5.014 5.014
1.500.000,00 - 1.550.000,00 1 1,517,036.66 0.05 360 345 4.950 1,517,036.66 4.955 4.955
1.550.000,00 - 1.600.000,00 1 1,560,493.35 0.05 300 286 5.070 1,560,493.35 5.066 5.066
2.100.000,00 - 2.150.000,00 1 2,104,005.18 0.07 360 342 4.610 2,104,005.18 4.606 4.606,
,TOTALES 15,409 2,857,755,528.44 100 373 353 5.280 222,576.52 2.750 6.925,
,,
,,
