Elaborado con datos a 17/11/2007,,
,EMISIÓN Madrid RMBS IV, FTA
(División por Fecha de Próxima Revisión de Tipo de Interés),
,,
,VENCIMIENTO
TIPO ACTUAL
FECHA DE PRÓXIMA VENCIMIENTO INICIAL RESIDUAL
SALDO ACTUAL SALDO PONDERADO Min. TIPO Máx. TIPO
REVISIÓN DE TIPO (año- NUM PONDERADO POR PONDERADO POR
EUROS ACTUAL % POR SALDO ACTUAL ACTUAL
mes) SALDO INICIAL (meses) SALDO ACTUAL
ACTUAL
(meses),
,2007 11 2,027 3 79,752,198.80 13.29 374 355 5.000 2.750 6.253
2007 12 3,051 5 77,656,177.76 20.21 380 362 5.050 2.750 6.375
2008 01 2,484 4 60,632,912.07 16.12 371 351 5.280 3.000 6.573
2008 02 1,911 3 50,285,336.26 12.26 369 349 5.440 3.000 6.825
2008 03 2,614 4 76,674,032.82 16.68 374 354 5.450 3.250 6.875
2008 04 2,384 4 40,991,443.91 15.43 370 349 5.520 3.250 6.925
2008 05 839 1 51,726,563.81 5.31 369 349 5.440 3.250 6.925
2008 06 91 1 8,629,169.29 0.65 346 323 4.020 3.000 5.500
2008 07 7 1 ,295,973.98 0.05 336 308 3.530 3.250 3.750
2012 10 1 1 11,719.74 0.00 360 344 5.750 5.750 5.750,
,TOTALES 15,409 2,857,755,528.44 100 373 353 5.280 2.750 6.925,
,,
,,
,,
