SALDOS VIVOS DE LOS PRÉSTAMOS DESGLOSADOS POR PROVINCIAS
Provincia Saldos vivos Préstamos
(miles de euros) % nº %
01 ALAVA 575,00 0,05 4 0,04
02 ALBACETE 4.095,10 0,39 42 0,46
03 ALICANTE 29.907,09 2,85 311 3,43
04 ALMERIA 11.658,21 1,11 108 1,19
05 AVILA 2.174,44 0,20 17 0,18
06 BADAJOZ 7.500,66 0,71 114 1,26
07 BALEARES 47.854,52 4,56 338 3,73
08 BARCELONA 114.446,08 10,90 800 8,84
09 BURGOS 1.849,37 0,17 16 0,17
10 CACERES 2.309,71 0,22 34 0,37
11 CADIZ 42.015,14 4,00 451 4,98
12 CASTELLON 14.094,74 1,34 114 1,26
13 CIUDAD REAL 6.120,47 0,58 70 0,77
14 CORDOBA 13.935,05 1,32 147 1,62
15 LA CORUÑA 15.310,71 1,45 192 2,12
16 CUENCA 405,16 0,03 7 0,07
17 GERONA 24.457,28 2,33 184 2,03
18 GRANADA 12.525,92 1,19 127 1,40
19 GUADALAJARA 11.391,59 1,08 62 0,68
20 GUIPUZCOA 2.881,19 0,27 25 0,27
21 HUELVA 18.055,43 1,72 194 2,14
22 HUESCA 1.277,76 0,12 12 0,13
23 JAEN 5.522,27 0,52 73 0,80
24 LEON 3.112,26 0,29 46 0,50
25 LERIDA 4.907,23 0,46 56 0,61
26 LA RIOJA 3.154,80 0,30 27 0,29
27 LUGO 1.624,06 0,15 30 0,33
28 MADRID 213.664,75 20,36 1.461 16,15
29 MALAGA 85.611,91 8,16 648 7,16
30 MURCIA 8.752,20 0,83 90 0,99
31 NAVARRA 4.285,13 0,40 34 0,37
32 ORENSE 4.018,43 0,38 43 0,47
33 ASTURIAS 32.485,22 3,09 384 4,24
34 PALENCIA 1.170,65 0,11 15 0,16
35 LAS PALMAS 52.564,96 5,01 504 5,57
36 PONTEVEDRA 18.823,15 1,79 168 1,85
37 SALAMANCA 2.363,64 0,22 22 0,24
38 TENERIFE 27.128,96 2,58 275 3,04
39 CANTABRIA 11.697,00 1,11 102 1,12
40 SEGOVIA 1.073,44 0,10 10 0,11
41 SEVILLA 60.514,63 5,76 646 7,14
43 TARRAGONA 21.427,36 2,04 165 1,82
44 TERUEL 160,43 0,01 3 0,03
45 TOLEDO 33.467,21 3,19 263 2,90
46 VALENCIA 31.511,25 3,00 309 3,41
47 VALLADOLID 7.660,22 0,73 78 0,86
48 VIZCAYA 16.262,70 1,55 121 1,33
49 ZAMORA 643,84 0,06 7 0,07
50 ZARAGOZA 10.564,18 1,00 95 1,05
Totales: 1.049.012.750,75 100,00 9.044 100,00
