TIPOS DE INTERÉS ACTUALES DE LOS PRÉSTAMOS
Intervalo Saldos vivos Préstamos
(%) (miles de euros) % nº %
2,25 – 3,99 577.580,36 55,05 4.928 54,48
4,00 – 4,49 211.311,44 20,14 1.783 19,71
4,50 – 4,99 213.874,84 20,38 1.924 21,27
5,00 – 5,49 24.761,89 2,36 214 2,36
5,50 – 5,99 19.773,41 1,88 184 2,03
6,00 – 6,49 1.239,25 0,11 6 0,06
6,50 – 6,99 312,38 0,02 2 0,02
7,00 – 7,49 0,00 0,00 0 0,00
7,50 – 7,99 102,70 0,00 1 0,01
8,00 – 9,99 37,68 0,00 1 0,01
10,00 – 12,00 18,75 0,00 1 0,01
Totales: 1.049.012.750,75 100,00 9.044 100,00
