% TACP,0,5,10,15,20,25
SERIE A,,,,,,
Vida media,16,73,10,08,6,65,4,80,3,70,2,98
TIR,2,28,2,28,2,28,2,28,2,28,2,28
Duración,11,72,7,15,4,74,3,46,2,68,2,19
Vida Final,28,52,23,02,16,51,12,26,9,51,7,75
SERIE B,,,,,,
Vida media,24,21,16,42,11,08,8,04,6,19,4,99
TIR,2,40,2,40,2,40,2,40,2,40,2,40
Duración,15,28,10,66,7,26,5,33,4,12,3,36
Vida Final,28,52,23,02,16,51,12,26,9,51,7,75
SERIE C,,,,,,
Vida media,24,21,16,42,11,08,8,04,6,19,4,99
TIR,2,65,2,65,2,65,2,65,2,65,2,65
Duración,15,23,10,63,7,24,5,32,4,12,3,36
Vida Final,28,52,23,02,16,51,12,26,9,51,7,75
