,ACTIVO,,,Euros,,,PASIVO,,,Euros,
,,,,,,,,,,,
Participaciones y Certificados*,,,1.500.000.000,00,,,Bonos de la Serie A1,,,250.000.000,00,,
,,,,,,Bonos de la Serie A2,,,943.500.000,00,,
,,,,,,Bonos de la Serie A3,,,230.000.000,00,,
,,,,,,Bonos de la Serie B,,,48.000.000,00,,
,,,,,,Bonos de la Serie C,,,28.500.000,00,,
,,,,,,Bonos de la Serie D,,,15.000.000,00,,
Tesorería,,,,,,,,,,,
Fondo de Reserva,,,15.000.000,00,,,,,,,,
Gastos Iniciales Activados,,,1.750.000,00,,,Préstamo Gastos Iniciales,,,1.750.000,00,,
Otros Recursos Depositados,,,0,00,,,,,,,,
,TOTAL ACTIVO,,,1.516.750.000,00,,,TOTAL PASIVO,,,1.516.750.000,00,
