Elab,,007
,,
,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA CAM 9
(División por Localización Geográfica de la Garantía),
,,
,VENCIMIENTO VENCIMIENTO
INICIAL RESIDUAL TIPO ACTUAL
SALDO ACTUAL SALDO Min. TIPO Máx. TIPO
PROVINCIA GARANTÍA NUM PONDERADO PONDERADO PONDERADO POR
EUROS ACTUAL % ACTUAL ACTUAL
POR SALDO POR SALDO SALDO ACTUAL
INICIAL (meses) ACTUAL (meses),
,ALAVA 1 1 24.059,27 0,01 144 132 4,1 4,100 4,100
ALBACETE 78 7 .685.316,03 0,35 350,92 339,3 4,97 3,900 5,670
ALICANTE 5.345 616.941.115,50 27,76 338,38 323,15 4,9 2,659 6,201
ALMERIA 237 3 0.392.759,99 1,37 333,26 320,09 5 3,400 6,001
ASTURIAS 17 2 .139.896,22 0,1 341,16 329,23 4,79 4,100 5,594
AVILA 11 1 .404.616,98 0,06 373,01 358,04 4,51 3,901 4,900
BADAJOZ 1 3 8.860,69 0 360 342 4,4 4,399 4,399
BALEARES 1.714 299.791.788,98 13,49 380,92 367,13 4,71 3,000 5,920
BARCELONA 745 136.164.261,12 6,13 391,16 371,05 4,63 3,250 6,020
BURGOS 7 8 57.160,76 0,04 394,12 378,45 4,85 4,421 5,064
CACERES 1 1 81.233,68 0,01 480 464 4,62 4,621 4,621
CADIZ 53 7 .435.957,86 0,33 335,85 319,14 4,62 3,400 5,356
CANTABRIA 14 1 .989.568,87 0,09 372,23 361,8 4,88 3,900 5,094
CASTELLON 415 5 0.373.711,03 2,27 361,14 346,88 4,9 3,400 6,087
CIUDAD REAL 19 2 .253.030,71 0,1 383,91 368,8 4,8 4,515 5,271
CORDOBA 13 1 .387.719,50 0,06 348,09 336,22 4,9 4,215 5,364
CUENCA 41 5 .377.217,92 0,24 400,42 388,25 4,78 4,189 5,564
GERONA 567 100.135.690,46 4,51 395,12 379,87 4,78 3,000 5,594
GRANADA 47 6 .873.802,11 0,31 340,84 326,45 4,67 3,400 6,001
GUADALAJARA 22 3 .959.907,29 0,18 367,2 346,53 4,66 3,858 5,500
GUIPUZCOA 1 7 8.747,65 0 420 406 5,09 5,094 5,094
HUELVA 17 2 .288.210,55 0,1 387,49 376,73 4,65 3,900 5,106
HUESCA 4 4 58.179,07 0,02 364,11 350,61 4,96 4,614 5,106
JAEN 7 6 50.222,55 0,03 355,66 335,4 4,86 4,515 5,265
LA CORUÑA 11 1 .376.628,59 0,06 347,18 337,81 4,68 3,400 5,451
LAS PALMAS 17 2 .726.622,45 0,12 347,91 327,76 4,71 3,771 5,253
LEON 19 1 .940.743,60 0,09 373,19 361,67 4,53 4,039 4,853
LERIDA 160 2 2.127.078,22 1 390,41 373,94 4,78 3,000 5,501
LLEIDA 1 4 7.210,45 0 300 214 5,5 5,500 5,500
LOGROÑO 3 6 38.888,13 0,03 338,03 319,55 4,65 4,401 5,064
MADRID 696 129.156.593,96 5,81 384,25 367,6 4,71 3,400 5,750
MALAGA 303 6 5.725.673,30 2,96 333,34 319,02 4,82 3,400 5,598
MURCIA 2.793 298.919.113,44 13,45 344,07 328,7 4,92 3,000 6,414
NAVARRA 4 4 46.106,46 0,02 305,76 284,64 4,74 4,188 5,348
ORENSE 1 5 0.730,08 0 300 246 4,95 4,948 4,948
PALENCIA 1 2 83.229,51 0,01 180 166 4,59 4,594 4,594
PONTEVEDRA 5 8 69.339,39 0,04 378,97 367,55 4,62 4,265 4,964
S. C. DE TENERIFE 119 1 9.676.836,36 0,89 340,79 327,52 4,89 4,258 5,106
SALAMANCA 14 2 .282.875,21 0,1 381,07 366,89 4,77 4,514 5,515
SEGOVIA 4 5 69.725,62 0,03 349,13 331,14 4,46 4,001 4,799
SEVILLA 79 1 0.002.032,99 0,45 352,12 336,47 4,49 3,400 5,751
TARRAGONA 143 1 9.088.943,97 0,86 373,15 346,5 4,64 3,865 5,501
TERUEL 3 1 82.706,46 0,01 207,04 196,23 4,88 4,515 5,094
TOLEDO 134 2 0.205.663,83 0,91 389,97 375,2 4,71 3,400 5,594
VALENCIA 2.777 336.380.926,26 15,14 371,01 354,52 4,92 3,039 6,160
VALLADOLID 9 1 .514.412,81 0,07 356,23 343,96 4,72 4,364 5,094
VIZCAYA 3 6 40.121,26 0,03 338,44 323,61 4,41 4,299 4,514
ZAMORA 1 9 6.004,92 0 280 274 4,5 4,500 4,500
ZARAGOZA 45 8 .206.599,67 0,37 410,93 395,24 4,7 4,215 5,064,
,TOTALES 1 6.722 2.222.137.841,73 100 361 345 4,830 2,659 6,414,
76,,
