Cartera de préstamos hipotecarios al día 05.02.2009
Clasificación por tipos de interés nominales máximos aplicables,,,
Intervalo % Tipo Interés
máximo,Préstamos hipotecarios
%,Principal pendiente
(euros) %,%Tipo*
interés máx.
9,00 - 9,99,18 0,07,2.754.182,97 0,11,9,62
10,00 - 10,99,214 0,82,20.848.771,78 0,81,10,02
11,00 - 11,99,515 1,98,48.114.097,15 1,87,11,00
12,00 - 12,99,2.478 9,55,208.034.340,88 8,10,12,01
13,00 - 13,99,32 0,12,2.040.900,01 0,08,13,02
14,00 - 14,99,35 0,13,1.997.258,94 0,08,14,00
15,00 - 15,99,5.445 20,98,520.732.679,13 20,28,15,00
16,00 - 16,99,287 1,11,25.400.472,25 0,99,16,00
17,00 - 17,99,1 0,00,14.535,63 0,00,17,00
18,00 - 18,99,2.957 11,39,348.457.365,23 13,57,18,00
19,00 - 19,99,1 0,00,171.900,50 0,01,19,00
20,00 - 20,99,10 0,04,776.144,68 0,03,20,00
25,00 - 25,99,101 0,39,7.102.225,04 0,28,25,00
28,00 - 28,99,194 0,75,30.787.946,48 1,20,28,00
29,00 - 29,99,1 0,00,63.467,69 0,00,29,00
30,00 - 30,99,5.665 21,82,490.593.172,46 19,10,30,00
32,00 - 32,99,1 0,00,143.456,13 0,01,32,00
Sin T.I.N. máximo aplicable,8.003 30,83,860.139.786,73 33,49,
Total 25.958 100,00 2.568.172.703,68 100,00,,,
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,,,
