Cartera de préstamos hipotecarios al día 05.02.2009
Clasificación por el tipo de interés nominal aplicable,,,,,,
Intervalo % Tipo Interés,Préstamos hipotecarios
%,,Principal pendiente
(euros) %,,%Tipo*
interés,
3,00 - 3,24,1 0,00,,243.629,76 0,01,,3,12,
3,25 - 3,49,8 0,03,,817.374,39 0,03,,3,35,
3,50 - 3,74,14 0,05,,1.854.638,81 0,07,,3,64,
3,75 - 3,99,218 0,84,,27.357.955,19 1,07,,3,91,
4,00 - 4,24,524 2,02,,54.943.138,49 2,14,,4,12,
4,25 - 4,49,381 1,47,,39.933.367,63 1,55,,4,38,
4,50 - 4,74,223 0,86,,25.186.868,10 0,98,,4,61,
4,75 - 4,99,1.629 6,28,,184.174.056,18 7,17,,4,86,
5,00 - 5,24,2.599 10,01,,263.578.904,18 10,26,,5,09,
5,25 - 5,49,3.654 14,08,,362.172.112,28 14,10,,5,35,
5,50 - 5,74,3.336 12,85,,330.293.567,96 12,86,,5,60,
5,75 - 5,99,4.914 18,93,,507.818.788,27 19,77,,5,86,
6,00 - 6,24,3.688 14,21,,360.093.619,45 14,02,,6,09,
6,25 - 6,49,3.180 12,25,,283.347.422,08 11,03,,6,33,
6,50 - 6,74,870 3,35,,71.936.495,13 2,80,,6,58,
6,75 - 6,99,576 2,22,,44.049.916,18 1,72,,6,82,
7,00 - 7,24,69 0,27,,5.541.378,48 0,22,,7,05,
7,25 - 7,49,54 0,21,,3.830.480,22 0,15,,7,30,
7,50 - 7,74,11 0,04,,470.763,36 0,02,,7,61,
7,75 - 7,99,4 0,02,,372.310,21 0,01,,7,78,
8,25 - 8,49,4 0,02,,100.689,67 0,00,,8,29,
8,50 - 8,74,1 0,00,,55.227,66 0,00,,8,51,
Total 25.958 100,00 2.568.172.703,68 100,00,,,,,,
Media ponderada: 5,63 %
Media simple: 5,67 %
Mínimo: 3,12 %
Máximo: 8,51 %
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,Media ponderada:,,,,5,63,%
,Media simple:,,,,5,67,%
,Mínimo:,,,,3,12,%
,Máximo:,,,,8,51,%
