202110,,100.0%
202111,94.9% 0.8% 0.3% 0.1% 3.9%,100.0%
202112,93.5% 1.8% 0.5% 0.1% 4.1%,100.0%
202201,94.9% 0.6% 0.2% 0.2% 4.2%,100.0%
202202,94.8% 0.7% 0.3% 0.1% 4.1%,100.0%
202203,93.0% 2.3% 0.5% 0.1% 4.1%,100.0%
202204,94.9% 0.6% 0.1% 0.3% 4.1%,100.0%
202205,92.4% 2.6% 0.6% 0.1% 4.3%,100.0%
202206,94.9% 0.6% 0.2% 0.0% 4.2%,100.0%
202207,94.9% 0.6% 0.2% 0.2% 4.1%,100.0%
202208,92.4% 2.7% 0.2% 0.2% 4.4%,100.0%
202209,94.5% 0.6% 0.2% 0.0% 4.6%,100.0%
202210,94.5% 0.3% 0.6% 0.1% 4.6%,100.0%
202211,96.7% 0.6% 0.3% 0.0% 2.4%,100.0%
202212,96.6% 0.6% 0.3% 0.0% 2.6%,100.0%
202301,93.2% 3.6% 0.2% 0.2% 2.8%,100.0%
202302,96.0% 0.8% 0.3% 0.2% 2.7%,100.0%
202303,93.7% 2.6% 0.7% 0.2% 2.8%,100.0%
202304,95.8% 0.7% 0.3% 0.2% 3.0%,100.0%
202305,93.0% 2.7% 0.7% 0.1% 3.4%,100.0%
202306,95.6% 0.5% 0.1% 0.3% 3.5%,100.0%
202307,95.5% 0.2% 0.5% 0.2% 3.6%,100.0%
202308,92.6% 2.7% 0.6% 0.3% 3.9%,100.0%
202309,95.1% 0.6% 0.2% 0.1% 3.9%,100.0%
202310,92.0% 3.1% 0.5% 0.3% 4.1%,100.0%
202311,95.7% 0.6% 0.2% 0.3% 3.3%,100.0%
202312,95.6% 0.6% 0.3% 0.2% 3.3%,100.0%
202401,92.6% 2.7% 0.7% 0.3% 3.7%,100.0%
202402,94.9% 0.7% 0.3% 0.1% 4.0%,100.0%
202403,95.0% 0.6% 0.3% 0.2% 3.8%,100.0%
202404,94.7% 0.6% 0.2% 0.4% 4.1%,100.0%
202405,92.7% 2.2% 0.4% 0.3% 4.3%,100.0%
202406,94.8% 0.5% 0.3% 0.2% 4.1%,100.0%
202407,93.0% 2.1% 0.5% 0.3% 4.1%,100.0%
202408,94.8% 0.5% 0.1% 0.3% 4.2%,100.0%
202409,94.7% 0.5% 0.1% 0.3% 4.4%,100.0%
202410,92.6% 2.0% 0.5% 0.3% 4.6%,100.0%
202411,94.4% 0.6% 0.3% 0.2% 4.6%,100.0%
202412,93.4% 2.0% 0.5% 0.3% 3.8%,100.0%
