CPR (15%),,,,Class D,,,,,,,,
,,,,Coupon: 3M EUR+ 2.75%,,,,,,,,
Payment Date,,,Amount EOP
(EUR),,,Principal
amortisation
(EUR),,Interest
(gross)
(EUR),,Total Cash Flow
(EUR),,
,28-may.-25,,,100,000.00,,,,,,,-100,000.00,
,21-oct.-25,,,100,000.00,,,-,1,957.20,,,1,957.20,
,21-jan.-26,,,100,000.00,,,-,1,233.30,,,1,233.30,
,21-april.-26,,,100,000.00,,,-,1,206.49,,,1,206.49,
,21-jul.-26,,,90,123.50,,,9,876.50,1,219.90,,,11,096.40,
,21-oct.-26,,,80,941.05,,,9,182.45,1,111.50,,,10,293.95,
,21-jan.-27,,,72,425.31,,,8,515.73,998.25,,,9,513.98,
,21-april.-27,,,64,569.92,,,7,855.39,873.81,,,8,729.20,
,21-jul.-27,,,57,327.18,,,7,242.74,787.69,,,8,030.43,
,21-oct.-27,,,50,645.61,,,6,681.57,707.02,,,7,388.58,
,21-jan.-28,,,44,482.78,,,6,162.83,624.61,,,6,787.44,
,21-april.-28,,,38,816.34,,,5,666.44,542.64,,,6,209.09,
,21-jul.-28,,,33,628.15,,,5,188.18,473.52,,,5,661.70,
,21-oct.-28,,,28,919.84,,,4,708.32,414.74,,,5,123.06,
,21-jan.-29,,,24,703.45,,,4,216.39,356.67,,,4,573.06,
,21-april.-29,,,20,987.15,,,3,716.30,298.05,,,4,014.34,
,21-jul.-29,,,17,709.05,,,3,278.10,256.02,,,3,534.12,
,21-oct.-29,,,14,791.31,,,2,917.74,218.41,,,3,136.15,
,21-jan.-30,,,12,228.05,,,2,563.26,182.42,,,2,745.69,
,21-april.-30,,,10,003.56,,,2,224.48,147.53,,,2,372.01,
,21-jul.-30,,,-,,,10,003.56,122.03,,,10,125.60,
