,,,Outstanding,
Initial Amount,,,,Outstanding
,No. Loans,No. Loans (%),Balance,
(EUR),,,,Balance (%)
,,,(EUR),
,,,,
<1000,0,0.00%,0,0.00%
1000-3000,1,048,0.51%,1,745,556,0.08%
3000-5000,29,652,14.36%,78,886,192,3.81%
5000-7000,35,532,17.21%,154,651,127,7.48%
7000-9000,22,717,11.00%,133,632,348,6.46%
9000-11000,23,006,11.14%,173,661,640,8.40%
11000-13000,16,386,7.94%,148,172,193,7.16%
13000-15000,11,664,5.65%,123,412,219,5.97%
15000-17000,16,321,7.90%,199,568,800,9.65%
17000-19000,7,982,3.87%,110,589,025,5.35%
19000-21000,8,941,4.33%,139,199,283,6.73%
21000-23000,6,045,2.93%,104,293,909,5.04%
23000-25000,3,880,1.88%,73,427,747,3.55%
25000-27000,4,633,2.24%,93,947,442,4.54%
27000-29000,2,521,1.22%,55,825,506,2.70%
29000-31000,4,576,2.22%,109,597,934,5.30%
31000-33000,2,441,1.18%,63,268,775,3.06%
33000-35000,1,236,0.60%,34,050,064,1.65%
35000-37000,1,284,0.62%,35,089,448,1.70%
37000-39000,884,0.43%,26,532,071,1.28%
39000-41000,1,293,0.63%,40,178,998,1.94%
>41000,4,427,2.14%,168,641,734,8.15%
Total,206,469,100.00%,2,068,372,012,100.00%
