Month,,Not in,,1-30 days in
arrears (% of
total portfolio),31-60 days in
arrears (% of total
portfolio),61-90 days in
arrears (% of total
portfolio),Over 91 days in
arrears (% of
total portfolio),Total
,,arrears (% of,,,,,,
,,total,,,,,,
,,portfolio),,,,,,
201412,86.8% 3.8% 1.9% 0.8% 6.7%,,,,,,,100.0%
201501,87.8% 3.1% 1.5% 0.9% 6.8%,,,,,,,100.0%
201502,87.9% 2.9% 1.4% 0.9% 6.9%,,,,,,,100.0%
201503,86.3% 4.0% 2.0% 0.8% 7.0%,,,,,,,100.0%
201504,87.9% 2.9% 0.8% 1.3% 7.0%,,,,,,,100.0%
201505,87.7% 3.0% 1.3% 0.5% 7.5%,,,,,,,100.0%
201506,90.3% 3.0% 1.2% 0.8% 4.8%,,,,,,,100.0%
201507,89.2% 3.5% 1.6% 0.5% 5.2%,,,,,,,100.0%
201508,90.4% 2.4% 0.9% 1.1% 5.2%,,,,,,,100.0%
201509,91.3% 2.7% 1.1% 0.7% 4.1%,,,,,,,100.0%
201510,91.5% 2.5% 1.1% 0.7% 4.2%,,,,,,,100.0%
201511,92.2% 2.5% 1.0% 0.7% 3.6%,,,,,,,100.0%
201512,91.9% 2.8% 1.4% 0.5% 3.4%,,,,,,,100.0%
201601,92.6% 2.6% 0.9% 0.6% 3.2%,,,,,,,100.0%
201602,92.9% 2.3% 0.9% 0.6% 3.3%,,,,,,,100.0%
201603,91.0% 3.7% 1.4% 0.5% 3.4%,,,,,,,100.0%
201604,93.0% 2.2% 0.8% 0.5% 3.4%,,,,,,,100.0%
201605,91.4% 3.3% 1.3% 0.4% 3.6%,,,,,,,100.0%
201606,93.6% 1.9% 0.8% 0.5% 3.2%,,,,,,,100.0%
201607,94.5% 1.9% 0.7% 0.5% 2.4%,,,,,,,100.0%
201608,92.7% 3.5% 0.7% 0.8% 2.4%,,,,,,,100.0%
201609,94.8% 2.0% 0.8% 0.5% 1.9%,,,,,,,100.0%
201610,94.8% 1.5% 1.2% 0.5% 2.1%,,,,,,,100.0%
201611,94.7% 2.1% 0.7% 0.4% 2.1%,,,,,,,100.0%
201612,94.9% 1.7% 0.7% 0.4% 2.3%,,,,,,,100.0%
201701,92.3% 4.1% 0.6% 0.6% 2.5%,,,,,,,100.0%
201702,94.3% 2.0% 0.7% 0.4% 2.5%,,,,,,,100.0%
201703,92.4% 3.5% 1.0% 0.3% 2.7%,,,,,,,100.0%
201704,94.4% 1.9% 0.6% 0.4% 2.7%,,,,,,,100.0%
201705,92.1% 3.6% 1.0% 0.3% 3.0%,,,,,,,100.0%
201706,95.5% 1.7% 0.5% 0.4% 1.9%,,,,,,,100.0%
201707,95.5% 1.1% 0.9% 0.3% 2.3%,,,,,,,100.0%
201708,92.9% 3.8% 0.5% 0.5% 2.3%,,,,,,,100.0%
201709,95.1% 1.7% 0.5% 0.3% 2.4%,,,,,,,100.0%
201710,92.5% 3.6% 0.9% 0.4% 2.6%,,,,,,,100.0%
201711,94.8% 1.7% 0.6% 0.3% 2.6%,,,,,,,100.0%
201712,94.9% 1.5% 0.5% 0.3% 2.7%,,,,,,,100.0%
201801,92.1% 3.9% 0.5% 0.5% 3.0%,,,,,,,100.0%
201802,94.5% 1.7% 0.6% 0.3% 3.0%,,,,,,,100.0%
201803,94.7% 1.0% 0.9% 0.3% 3.1%,,,,,,,100.0%
201804,94.3% 1.6% 0.3% 0.5% 3.2%,,,,,,,100.0%
201805,92.3% 3.2% 0.9% 0.3% 3.4%,,,,,,,100.0%
201806,95.2% 1.5% 0.4% 0.3% 2.6%,,,,,,,100.0%
