CPR (15%),,,,Class B,,,,,,,,,,
,,,,Coupon: 3M EUR+ 1.20%,,,,,,,,,,
Payment Date,,,Amount EOP
(EUR),,,Principal
amortisation
(EUR),,,Interest
(gross)
(EUR),,,Total Cash Flow
(EUR),,
,28-may.-25,,,100,000.00,,,,,,,,,-100,000.00,
,21-oct.-25,,,100,000.00,,,-,,,1,337.20,,,1,337.20,
,21-jan.-26,,,100,000.00,,,-,,,842.62,,,842.62,
,21-april.-26,,,100,000.00,,,-,,,824.30,,,824.30,
,21-jul.-26,,,90,123.50,,,9,876.50,,,833.46,,,10,709.96,
,21-oct.-26,,,80,941.05,,,9,182.45,,,759.40,,,9,941.85,
,21-jan.-27,,,72,425.31,,,8,515.73,,,682.02,,,9,197.76,
,21-april.-27,,,64,569.92,,,7,855.39,,,597.00,,,8,452.40,
,21-jul.-27,,,57,327.18,,,7,242.74,,,538.16,,,7,780.90,
,21-oct.-27,,,50,645.61,,,6,681.57,,,483.05,,,7,164.62,
,21-jan.-28,,,44,482.78,,,6,162.83,,,426.75,,,6,589.58,
,21-april.-28,,,38,816.34,,,5,666.44,,,370.75,,,6,037.19,
,21-jul.-28,,,33,628.15,,,5,188.18,,,323.52,,,5,511.70,
,21-oct.-28,,,28,919.84,,,4,708.32,,,283.36,,,4,991.68,
,21-jan.-29,,,24,703.45,,,4,216.39,,,243.68,,,4,460.07,
,21-april.-29,,,20,987.15,,,3,716.30,,,203.63,,,3,919.93,
,21-jul.-29,,,17,709.05,,,3,278.10,,,174.92,,,3,453.02,
,21-oct.-29,,,14,791.31,,,2,917.74,,,149.22,,,3,066.96,
,21-jan.-30,,,12,228.05,,,2,563.26,,,124.63,,,2,687.90,
,21-april.-30,,,10,003.56,,,2,224.48,,,100.80,,,2,325.28,
,21-jul.-30,,,-,,,10,003.56,,,83.38,,,10,086.94,
