CPR (15%),,,,Class A,,,,,,,,,,
,,,,Coupon: 3M EUR + 0.77%,,,,,,,,,,
Payment Date,,,Amount EOP
(EUR),,,Principal
amortisation
(EUR),,,Interest
(gross)
(EUR),,,Total Cash Flow
(EUR),,
,28-may.-25,,,100,000.00,,,-,,,,,,-100,000.00,
,21-oct.-25,,,100,000.00,,,-,,,1,165.20,,,1,165.20,
,21-jan.-26,,,100,000.00,,,-,,,734.24,,,734.24,
,21-april.-26,,,100,000.00,,,-,,,718.27,,,718.27,
,21-jul.-26,,,90,123.50,,,9,876.50,,,726.25,,,10,602.76,
,21-oct.-26,,,80,941.05,,,9,182.45,,,661.72,,,9,844.17,
,21-jan.-27,,,72,425.31,,,8,515.73,,,594.30,,,9,110.03,
,21-april.-27,,,64,569.92,,,7,855.39,,,520.21,,,8,375.61,
,21-jul.-27,,,57,327.18,,,7,242.74,,,468.94,,,7,711.68,
,21-oct.-27,,,50,645.61,,,6,681.57,,,420.92,,,7,102.48,
,21-jan.-28,,,44,482.78,,,6,162.83,,,371.86,,,6,534.69,
,21-april.-28,,,38,816.34,,,5,666.44,,,323.06,,,5,989.50,
,21-jul.-28,,,33,628.15,,,5,188.18,,,281.91,,,5,470.09,
,21-oct.-28,,,28,919.84,,,4,708.32,,,246.91,,,4,955.23,
,21-jan.-29,,,24,703.45,,,4,216.39,,,212.34,,,4,428.73,
,21-april.-29,,,20,987.15,,,3,716.30,,,177.44,,,3,893.74,
,21-jul.-29,,,17,709.05,,,3,278.10,,,152.42,,,3,430.52,
,21-oct.-29,,,14,791.31,,,2,917.74,,,130.03,,,3,047.77,
,21-jan.-30,,,12,228.05,,,2,563.26,,,108.60,,,2,671.87,
,21-april.-30,,,10,003.56,,,2,224.48,,,87.83,,,2,312.31,
,21-jul.-30,,,-,,,10,003.56,,,72.65,,,10,076.21,
