CARTERA OPERACIONES DE DIA 26 DE ENERO DE 2016,,,,
CLASIFICACIÓN POR POTENCIALES CARENCIAS DE PRINCIPAL,,,,
Meses,Operaciones,%Operaciones,Importe,%Importe
0,136.051,90,74%,12.724.976.791,29,88,28%
1-9,3.709,2,48%,338.261.130,04,2,34%
10-19,5.287,3,53%,630.743.488,76,4,38%
20-29,1.642,1,10%,216.254.359,08,1,50%
30-39,882,0,59%,128.242.214,53,0,89%
40-49,876,0,58%,142.223.060,57,0,99%
50-59,652,0,43%,99.277.773,89,0,69%
60-69,103,0,07%,14.406.420,01,0,10%
70-79,115,0,08%,18.230.646,03,0,13%
80-89,80,0,05%,13.451.151,88,0,09%
90-99,171,0,11%,28.790.616,22,0,20%
100-109,216,0,14%,37.393.436,33,0,26%
110-120,148,0,10%,22.370.873,24,0,16%
Total general,149.932,100,00%,14.414.621.961,87,100,00%
,,Mínimo (meses),1,
,,Máximo (meses),120,
,,Media Ponderado (meses),26,
