CARTERA OPERACIONES DE DIA 26 DE ENERO DE 2016,,,,,,
CLASIFICACIÓN POR BONIFICACIÓN MÁXIMA DE TIPOS DE INTERÉS,,,,,,
Intervalos,Operaciones,%Operaciones,Importe,%Importe,Bonificación media actual,Tipo de interés medio
Sin bonificación,114.600,76,43%,9.792.999.733,65,67,94%,0,00%,1,51%
0,10-0,20%,33,0,02%,3.712.307,26,0,03%,0,14%,3,75%
0,20-0,30%,37,0,02%,1.773.847,70,0,01%,0,14%,1,70%
0,30-0,40%,3.848,2,57%,610.112.768,66,4,23%,0,16%,0,76%
0,40-0,50%,2.258,1,51%,310.671.680,26,2,16%,0,21%,0,85%
0,50-0,60%,5.702,3,80%,747.527.046,15,5,19%,0,28%,0,93%
0,60-0,70%,428,0,29%,47.335.501,62,0,33%,0,37%,1,10%
0,70-0,80%,13.711,9,14%,1.650.382.003,67,11,45%,0,36%,1,59%
0,80-0,90%,185,0,12%,3.277.738,05,0,02%,0,37%,1,69%
0,90-1,00%,13,0,01%,106.408,86,0,00%,0,13%,1,98%
1,00-1,10%,2.692,1,80%,423.001.780,13,2,93%,0,54%,1,56%
1,10-1,20%,1,0,00%,2.067,07,0,00%,0,40%,2,11%
1,20-1,30%,4.864,3,24%,594.407.933,78,4,12%,0,71%,2,05%
1,30-1,40%,14,0,01%,90.590,43,0,00%,0,22%,2,75%
1,40-1,50%,3,0,00%,56.150,82,0,00%,0,25%,2,84%
1,50-1,60%,9,0,01%,39.628,16,0,00%,0,18%,3,04%
1,60-1,70%,1.525,1,02%,229.099.464,34,1,59%,0,36%,0,98%
1,70-1,80%,9,0,01%,25.311,26,0,00%,0,40%,3,31%
Total General,149.932,100,00%,14.414.621.961,87,100,00%,0,39%,1,46%
,,,Tipo de interés medio ponderado de las operaciones que tienen bonificación actual,,,1,32%
,,,Bonificación actual ponderada,,,0,39%
,,,Bonificación máxima ponderada,,,0,74%
