CARTERA DE OPERACIONES DE DIA 26 DE ENERO DE 2016,,,,,,,,,
CLASIFICACIÓN POR RATIO DE SALDO PENDIENTE O MAYOR ENTRE EL LÍMITE Y SALDO DISPUESTO,,,,,,,,,
ENTRE LA TASACIÓN A FECHA DE FORMALIZACIÓN,,,,,,,,,
Intervalos,,Operaciones,,,%Operaciones,,Importe,,%Importe
0-10%,,692,,,0,46%,,27.659.803,29,,0,19%
10-20%,,274,,,0,18%,,3.162.870,74,,0,02%
20-30%,,670,,,0,45%,,33.006.475,23,,0,23%
30-40%,,2.575,,,1,72%,,177.095.251,93,,1,23%
40-50%,,5.549,,,3,70%,,344.294.418,30,,2,39%
50-60%,,17.386,,,11,60%,,1.548.311.107,92,,10,74%
60-70%,,51.125,,,34,10%,,4.915.939.835,71,,34,10%
70-80%,,49.198,,,32,81%,,4.670.793.204,89,,32,40%
80-90%,,17.013,,,11,35%,,2.135.316.184,81,,14,81%
90-100%,,4.129,,,2,75%,,449.577.707,63,,3,12%
100-110%,,767,,,0,51%,,68.122.297,58,,0,47%
110-120%,,241,,,0,16%,,21.056.450,92,,0,15%
120-130%,,129,,,0,09%,,9.434.180,23,,0,07%
130-140%,,70,,,0,05%,,3.864.598,92,,0,03%
140-150%,,20,,,0,01%,,1.679.267,52,,0,01%
150-160%,,27,,,0,02%,,1.312.399,22,,0,01%
160-170%,,27,,,0,02%,,1.807.081,23,,0,01%
170-180%,,25,,,0,02%,,897.287,07,,0,01%
180-190%,,1,,,0,00%,,88.962,28,,0,00%
190-200%,,4,,,0,00%,,649.631,81,,0,00%
200-210%,,4,,,0,00%,,249.245,10,,0,00%
230-240%,,1,,,0,00%,,265.356,45,,0,00%
240-250%,,4,,,0,00%,,26.651,39,,0,00%
> 270%,,1,,,0,00%,,11.691,70,,0,00%
Total general,,149.932,,,100,00%,,14.414.621.961,87,,100,00%
,,,,,,,Mínimo,,0,03%
,,,,,,,Máximo,,286,67%
,,,,,,,Ponderado,,70,86%
