CUENTA DE PERDIDAS Y GANANCIAS,,,Diciembre 2015
(miles de euros),Diciembre 2014
(miles de euros)
,Intereses y rendiminetos asimilados,,216,545,203,795
,Intereses y cargas asimiladas,,- 44,899,- 52,923
,MARGEN DE INTERESES,,171,646,150,872
,Rendimiento de instrumentos de capital,,1,705,1,122
,Comisiones percibidas,,70,755,72,714
,Comisiones pagadas,,- 26,435,- 24,391
,Resultados de operaciones financieras (neto),,- 2,217,724
,Diferencias de cambio (neto),,-,- 3
,Otros productos de explotación,,3,710,257
,Otras cargas de explotación,,- 2,292,- 3,500
,MARGEN BRUTO,,216,872,197,795
,Gastos de administración,,- 96,624,- 95,099
,Amortización,,- 3,032,- 3,141
,Dotaciones a provisiones (neto),,- 3,610,- 8,602
,Pérdidas por deterioro de activos financieros (neto),,- 26,132,- 48,110
,RESULTADO DE LA ACTIVIDAD DE EXPLOTACION,,87,474,42,843
,Pérdidas por deterioro del resto de activos (neto),,-,- 12,439
Activos no corrientes en venta no clasificados como
operaciones interrumpidas,,,- 1,483,- 1,390
,Activos no corrientes en venta no clasificados como,,,
,operaciones interrumpidas,,,
,RESULTADO ANTES DE IMPUESTOS,,85,991,29,014
,Impuesto sobre beneficios,,- 25,285,- 8,367
,RESULTADO DEL EJERCICIO,,60,706,20,647
