Comunidad Autónoma,Número de
préstamos,Número de
préstamos
(% del total),Principal
pendiente (EUR),Principal pendiente
(% del total)
Andalucía,12.109,19,75%,142.593.391,19,54%
Aragón,1.517,2,47%,18.823.565,2,58%
Canarias,3.065,5,00%,31.836.062,4,36%
Cantabria,703,1,15%,8.661.452,1,19%
Castilla y León,2.363,3,85%,28.467.502,3,90%
Castilla-La Mancha,2.397,3,91%,2 9.011.582,3,97%
Cataluña,8.914,14,54%,111.146.883,15,23%
Ceuta,86,0,14%,1.136.828,0,16%
Comunidad de Madrid,9.774,15,94%,1 14.648.218,15,71%
Comunidad Valenciana,6.663,10,87%,7 9.357.142,10,87%
Extremadura,1.359,2,22%,15.395.128,2,11%
Galicia,3.417,5,57%,41.685.625,5,71%
Islas Baleares,1.849,3,02%,21.248.697,2,91%
La Rioja,449,0,73%,5.338.855,0,73%
Melilla,84,0,14%,1.112.063,0,15%
Murcia,1.950,3,18%,24.752.232,3,39%
Navarra,768,1,25%,9.232.474,1,26%
País Vasco,2.714,4,43%,31.584.022,4,33%
Principado de Asturias,1.125,1,84%,13.831.424,1,90%
Total,61.306,100,00%,729.863.146,100,00%
