,a),,,Gastos de Constitución (Gastos de documentación, publicidad y tasas):,,,,,,,
,,,,•,,,Tasas CNMV (para la oferta y la admisión a cotización):,,,60,000.00,
,,,,•,,,Tasas AIAF:,,,66,658.90,
,,,,•,,,Tasas Iberclear:,,,2,196.15,
,,,•,•,,,Gastos iniciales (asesores legales, auditoría, notaría, agencias de,,606,144.95,,
,,,,,,,calificación):,,,606,144.95,
Subtotal:,,,,,,,,,,735,000.00,
,,,,,,,,,,,
,b),,,Gastos de Emisión:,,,,,,,
,,,,,,,,,,,
,,,,•,,,Comisión de estructuración (Sociedad Gestora; Banco Santander),,,40,000.00,
Subtotal:,,,,,,,,,,40,000.00,
,,,,,,,,,,,
,TOTAL GENERAL,,,,,,,,,775,000.00,
