Plazo hasta el vencimiento
(meses),Número de
préstamos,Número de
préstamos
(% del total),Principal
pendiente (EUR),Principal pendiente
(% del total)
<25,1.205,1,97%,4.990.004,0,68%
25-36,2.186,3,57%,13.404.492,1,84%
37-48,10.395,16,96%,104.468.183,14,31%
49-60,26.774,43,67%,292.196.948,40,03%
61-72,6.511,10,62%,86.551.564,11,86%
73-84,5.568,9,08%,81.718.650,11,20%
85-96,3.365,5,49%,53.599.924,7,34%
97-108,697,1,14%,11.729.711,1,61%
109-120,4.605,7,51%,81.203.669,11,13%
Total,61.306,100,00%,729.863.146,100,00%
