Año de vencimiento,Número de
préstamos,Número de
préstamos
(% del total),Principal
pendiente (EUR),Principal pendiente
(% del total)
2016,3,0,00%,3.534,0,00%
2017,108,0,18%,392.660,0,05%
2018,1.120,1,83%,4.758.303,0,65%
2019,2.195,3,58%,13.566.559,1,86%
2020,10.390,16,95%,104.405.731,14,30%
2021,26.759,43,65%,292.194.469,40,03%
2022,6.520,10,64%,86.638.666,11,87%
2023,5.579,9,10%,81.967.958,11,23%
2024,3.404,5,55%,54.248.411,7,43%
2025,1.139,1,86%,19.120.657,2,62%
2026,4.089,6,67%,72.566.198,9,94%
Total,61.306,100,00%,729.863.146,100,00%
