Plazo de concesión (meses),Número de
préstamos,Número de
préstamos
(% del total),Principal
pendiente (EUR),Principal pendiente
(% del total)
<25,1.103,1,80%,4.248.122,0,58%
25-36,2.169,3,54%,12.870.610,1,76%
37-48,10.422,17,00%,104.714.354,14,35%
49-60,26.810,43,73%,292.534.776,40,08%
61-72,6.537,10,66%,86.651.236,11,87%
73-84,5.555,9,06%,81.615.346,11,18%
85-96,3.393,5,53%,54.002.231,7,40%
97-108,664,1,08%,11.102.509,1,52%
109-120,4.653,7,59%,82.123.962,11,25%
Total,61.306,100,00%,729.863.146,100,00%
Total,61.306,100,00%,729.863.146,100,00%
