Importe concedido sobre el valor
del vehículo (%),Número de
préstamos,Número de
préstamos
(% del total),Principal
pendiente (EUR),Principal pendiente
(% del total)
0-10,0,0,00%,-,0,00%
10-20,46,0,08%,159.731,0,02%
20-30,204,0,33%,930.621,0,13%
30-40,848,1,38%,6.382.815,0,87%
40-50,3.581,5,84%,35.978.043,4,93%
50-60,7.650,12,48%,82.534.858,11,31%
60-70,9.000,14,68%,98.664.261,13,52%
70-80,9.797,15,98%,111.595.528,15,29%
80-90,11.494,18,75%,138.342.249,18,95%
90-100,11.040,18,01%,145.623.902,19,95%
100-110,6.153,10,04%,87.081.888,11,93%
>110,1.493,2,44%,22.569.247,3,09%
Total,61.306,100,00%,729.863.146,100,00%
