Marca,Número de
préstamos,Número de
préstamos
(% del total),Principal
pendiente (EUR),Principal pendiente
(% del total)
HYUNDAI,13.415,21,88%,161.441.232,22,12%
KIA,11.632,18,97%,146.443.892,20,06%
OPEL,11.740,19,15%,132.828.880,18,20%
MAZDA,3.820,6,23%,49.158.622,6,74%
FORD,2.504,4,08%,28.247.236,3,87%
MITSUBISHI,1.807,2,95%,27.047.315,3,71%
VOLKSWAGEN,1.695,2,76%,19.543.172,2,68%
SEAT,1.857,3,03%,19.201.784,2,63%
RENAULT,2.015,3,29%,18.882.456,2,59%
SUZUKI,1.239,2,02%,15.697.756,2,15%
NISSAN,1.062,1,73%,13.440.682,1,84%
CITROEN,1.475,2,41%,12.632.194,1,73%
PEUGEOT,1.200,1,96%,10.854.093,1,49%
AUDI,659,1,07%,9.786.530,1,34%
BMW,634,1,03%,9.462.815,1,30%
MERCEDES-BENZ,506,0,83%,9.064.930,1,24%
FIAT,962,1,57%,8.753.280,1,20%
DACIA,776,1,27%,8.482.179,1,16%
TOYOTA,600,0,98%,6.416.033,0,88%
SSANGYONG,406,0,66%,6.105.829,0,84%
SKODA,223,0,36%,2.300.604,0,32%
Otros,1.079,1,76%,14.071.632,1,93%
Total,61.306,100,00%,729.863.146,100,00%
