Entidad
Aseguradora
y Colocadora,Importe nominal asegurado de cada Serie (euros),,,,,
,Bonos
Serie A1,Bonos
Serie A2,Bonos
Serie B,Bonos
Serie C,Bonos
Serie D,Bonos
Serie E
CALYON
MERRILL LYNCH
SCH
DEXIA CAPITAL
MARKETS
FORTIS BANK
Total,28.400.000,00
28.300.000,00
28.300.000,00
0,00
0,00
85.000.000,00,458.800.000,00
459.800.000,00
458.800.000,00
10.000.000,00
10.000.000,00
1.397.400.000,00,7.500.000,00
7.500.000,00
7.400.000,00
0,00
0,00
22.400.000,00,8.100.000,00
8.000.000,00
8.000.000,00
0,00
0,00
24.100.000,00,2 0.500.000,00
0,00
0,00
0,00
0,00
20.500.000,00,20.600.000,00
0,00
0,00
0,00
0,00
20.600.000,00
