Cartera de préstamos hipotecarios al día 28.10.2006
Clasificación por fecha de vencimiento final,,,
Año de vencimiento final,Préstamos
%,Principal pendiente
(euros) %,Vida residual *
mp
Meses Fecha
2007,1 0,01,8.755,95 0,00,11,96 27/10/2007
2008,3 0,02,83.178,14 0,01,23,23 4/10/2008
2009,5 0,04,148.240,08 0,01,32,95 27/07/2009
2010,17 0,14,511.334,07 0,03,46,19 3/09/2010
2011,20 0,16,886.031,76 0,05,54,90 26/05/2011
2012,35 0,29,1.870.661,29 0,11,70,03 29/08/2012
2013,41 0,34,1.891.156,32 0,11,79,58 15/06/2013
2014,48 0,39,2.687.384,00 0,16,91,44 11/06/2014
2015,172 1,41,11.409.719,25 0,69,106,66 18/09/2015
2016,164 1,34,12.383.655,85 0,75,113,39 9/04/2016
2017,87 0,71,4.771.615,15 0,29,129,32 7/08/2017
2018,120 0,98,7.336.806,46 0,45,139,18 3/06/2018
2019,110 0,90,7.808.554,83 0,47,152,11 2/07/2019
2020,449 3,68,32.883.430,21 2,00,166,11 31/08/2020
2021,381 3,12,35.845.561,18 2,18,173,29 6/04/2021
2022,92 0,75,7.044.357,62 0,43,189,54 14/08/2022
2023,163 1,34,13.544.390,98 0,82,200,51 14/07/2023
2024,206 1,69,18.896.929,92 1,15,211,70 19/06/2024
2025,874 7,17,82.164.531,62 4,99,226,11 31/08/2025
2026,681 5,58,74.957.220,73 4,55,232,88 25/03/2026
2027,138 1,13,10.328.187,88 0,63,249,04 30/07/2027
