Cartera de préstamos hipotecarios al día 28.10.2006
Clasificación por relación principal pendiente /Valor Tasación,,,
Intervalos Relación,Préstamos
%,Principal pendiente
(euros %,(%) Principal
pendiente*/
V. Tasación **
0,01 - 5,00,6 0,05,89.781,16 0,01,3,16
5,01 - 10,00,52 0,43,1.835.856,20 0,11,7,73
10,01 - 15,00,141 1,16,6.804.930,19 0,41,12,88
15,01 - 20,00,229 1,88,15.032.477,55 0,91,17,72
20,01 - 25,00,327 2,68,22.538.312,35 1,37,22,64
25,01 - 30,00,428 3,51,31.572.640,62 1,92,27,74
30,01 - 35,00,545 4,47,46.030.930,30 2,79,32,58
35,01 - 40,00,657 5,39,61.149.855,97 3,71,37,65
40,01 - 45,00,765 6,27,79.474.771,67 4,83,42,69
45,01 - 50,00,842 6,90,91.784.254,51 5,57,47,52
