Cartera de préstamos hipotecarios al día 28.10.2006
Clasificación por fecha formalización del préstamo hipotecario,,
Intervalo de fechas,Préstamos
%,Principal pendiente
(euros) %
Del 01/01/2003 al 30/06/2003,117 0,96,15.063.590,31 0,91
Del 01/07/2003 al 31/12/2003,206 1,69,30.208.069,93 1,83
Del 01/01/2004 al 30/06/2004,248 2,03,33.858.852,31 2,06
Del 01/07/2004 al 31/12/2004,318 2,61,35.220.632,78 2,14
Del 01/01/2005 al 30/06/2005,2.239 18,36,254.652.209,61 15,46
Del 01/07/2005 al 31/12/2005,4.251 34,85,563.478.368,03 34,21
Del 01/01/2006 al 30/06/2006,4.819 39,51,714.509.018,15 43,38
Total,12 .198 100 ,00,1.646.9 90.741,12 10 0,00
A ntigüedad media p onderada 12 ,34 Meses
Antigüedad máxima 02/01/2003 45,86 Meses
Antigüedad mínima 30/06/2006 3,95 Meses,,
