Cartera de préstamos seleccionados al día 06/03/2017
Clasificación por fecha formalización del préstamo,,
Año de formalización,Préstamos
N.º %,Principal pendiente
(euros) %
2007,326 0,19,736.341,88 0,05
2008,554 0,33,2.147.097,63 0,15
2009,121 0,07,484.213,83 0,03
2010,149 0,09,823.963,43 0,06
2011,53 0,03,361.558,09 0,03
2012,78 0,05,435.871,84 0,03
2013,543 0,32,2.336.983,81 0,16
2014,3.739 2,21,20.156.218,63 1,42
2015,53.723 31,75,364.286.654,78 25,57
2016,109.944 64,97,1.032.632.870,52 72,50
Total,169.230 100,00,1.424.401.774,44 100,00
,0,95 años
9,84 años
0,24 años,Antigüedad media ponderada
Antigüedad máxima
Antigüedad mínima
