CARTERA OPERACIONES DE DIA 26 DE ENERO DE 2016,,,,
CLASIFICACIÓN POR POTENCIALES PERIODOS DE CARENCIA DE PRINCIPAL E INTERESES,,,,
Meses,Operaciones,%Operaciones,Importe,% Importe
0,103.322,68,91%,8.753.473.672,75,60,73%
1,318,0,21%,30.272.214,93,0,21%
2,20,0,01%,2.720.634,91,0,02%
3,15,0,01%,1.463.247,11,0,01%
4,8,0,01%,1.129.962,53,0,01%
5,7,0,00%,392.376,12,0,00%
6,184,0,12%,19.412.539,32,0,13%
7,14,0,01%,799.111,18,0,01%
8,7,0,00%,327.266,00,0,00%
9,9,0,01%,763.175,38,0,01%
10,7,0,00%,430.888,17,0,00%
11,3,0,00%,138.264,67,0,00%
12,45.998,30,68%,5.600.707.972,34,38,85%
36,10,0,01%,1.923.396,87,0,01%
72,10,0,01%,667.239,59,0,00%
Total general,149.932,100,00%,14.414.621.961,87,100,00%
,,Mínimo (meses),1,
,,Máximo (meses),72,
,,Media Ponderado (meses),12,
