Fondo de Titulización,Fecha,Emisión Bonos,Saldo a,
En miles de euros,Constitución,Inicial,31/12/2015,
GC SABADELL 1, FTH,12/07/2004,1.200.000,228.136,
FONCAIXA FTGENCAT 3, FTA *,15/11/2005,656.500,97.217,
FONCAIXA FTGENCAT 4, FTA*,14/07/2006,606.000,132.017,
GC FPTYME PASTOR 4, FTA,07/11/2006,630.000,49.935,
GC PASTOR HIPOTECARIO 5, FTA,26/06/2007,710.500,327.277,
GC FPTYME SABADELL 6, FTA,27/06/2007,1.000.000,112.654,
FONCAIXA FTGENCAT 5, FTA*,27/11/2007,1.026.500,357.256,
GC FTGENCAT CAIXA TARRAGONA 1, FTA,30/06/2008,253.800,76.358,
FONCAIXA FTGENCAT 6, FTA*,10/07/2008,768.800,256.420,
FONCAIXA CONSUMO 1, F.T.A.*,26/11/2011,3.080.000,1.401.799,
FONCAIXA LEASINGS 2, F.T.A.*,19/03/2013,1.150.000,518.344,
FONCAIXA PYMES 6, F.T.*,16/10/2015,1.120.000,1.120.000,
FONCAIXA PYMES 7, F.T.*,26/11/2015,2.530.000,2.530.000,
,TOTAL,207.108.700,7.207.412,
