Cartera de préstamos hipotecarios al día 24.03.2010
Clasificación por principal pendiente,,
Intervalo de principal
(en euros),Préstamos hipotecarios
Nº. %,Principal pendiente
(euros) %
25.000,00 -49.999,99,13 0,15,607.936,37 0,04
50.000,00 -74.999,99,195 2,25,12.708.133,70 0,85
75.000,00 -99.999,99,580 6,69,51.936.666,41 3,48
100.000,00 -124.999,99,1.212 13,98,138.423.410,42 9,29
125.000,00 -149.999,99,1.621 18,70,223.312.126,05 14,98
150.000,00 -174.999,99,1.481 17,09,239.612.340,49 16,08
175.000,00 -199.999,99,1.245 14,36,232.760.017,45 15,62
200.000,00 -224.999,99,908 10,48,192.081.106,68 12,89
225.000,00 249.999,99,543 6,26,128.695.426,95 8,64
250.000,00 274.999,99,313 3,61,81.957.137,97 5,50
275.000,00 299.999,99,203 2,34,58.269.123,27 3,91
300.000,00 324.999,99,116 1,34,36.224.551,42 2,43
325.000,00 349.999,99,79 0,91,26.522.361,75 1,78
350.000,00 374.999,99,50 0,58,18.031.785,55 1,21
375.000,00 399.999,99,42 0,48,16.303.224,21 1,09
400.000,00 424.999,99,20 0,23,8.262.501,42 0,55
425.000,00 449.999,99,14 0,16,6.177.474,38 0,41
450.000,00 474.999,99,10 0,12,4.615.336,47 0,31
475.000,00 499.999,99,5 0,06,2.411.530,46 0,16
500.000,00 524.999,99,6 0,07,3.099.915,34 0,21
575.000,00 599.999,99,2 0,02,1.168.820,54 0,08
600.000,00 624.999,99,3 0,03,1.840.331,55 0,12
625.000,00 -649.999,99,1 0,01,629.367,92 0,04
