Elaborad,
,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN MADRID RESIDENCIAL I, FTA
(División por Saldo Actual)
,
,VENCIMIENTO VENCIMIENTO
INICIAL RESIDUAL TIPO ACTUAL
SALDO SALDO ACTUAL Min. TIPO Máx. TIPO
SALDO ACTUAL EUROS NUM SALDO ACTUAL EUROS PONDERADO POR PONDERADO POR PONDERADO POR
ACTUAL % MEDIO ACTUAL ACTUAL
SALDO INICIAL SALDO ACTUAL SALDO ACTUAL
(meses) (meses)
,0,00 - 50.000,00 39 1.323.227,01 0,15 306 264 6,27 3 3.928,90 4,750 7,384
50.000,00 - 100.000,00 331 26.694.032,97 2,94 341 310 6,12 8 0.646,63 4,500 7,393
100.000,00 - 150.000,00 909 115.815.393,25 12,76 362 336 6,03 1 27.409,67 2,750 7,393
150.000,00 - 200.000,00 1236 216.990.268,42 23,90 378 355 5,97 1 75.558,47 3,500 7,393
200.000,00 - 250.000,00 1112 247.968.656,68 27,32 394 373 6,00 2 22.993,40 3,500 7,393
250.000,00 - 300.000,00 524 142.438.969,51 15,69 402 381 5,93 2 71.830,09 3,500 7,450
300.000,00 - 350.000,00 208 66.887.349,02 7,37 399 378 5,80 3 21.573,79 4,500 7,111
350.000,00 - 400.000,00 94 34.799.923,50 3,83 396 377 5,84 3 70.211,95 4,750 6,893
400.000,00 - 450.000,00 42 17.778.985,75 1,96 395 376 5,87 4 23.309,18 4,750 7,125
450.000,00 - 500.000,00 20 9.407.071,99 1,04 385 366 5,76 4 70.353,60 5,210 6,573
500.000,00 - 550.000,00 25 13.039.803,81 1,44 408 391 5,86 5 21.592,15 5,370 6,573
550.000,00 - 600.000,00 5 2.939.993,20 0,32 357 340 5,67 5 87.998,64 5,000 6,025
600.000,00 - 650.000,00 2 1.291.519,06 0,14 390 365 5,29 6 45.759,53 4,849 5,731
650.000,00 - 700.000,00 1 650.644,26 0,07 360 335 5,88 6 50.644,26 5,884 5,884
700.000,00 - 750.000,00 1 716.321,80 0,08 360 308 5,76 7 16.321,80 5,761 5,761
750.000,00 - 800.000,00 3 2.286.572,04 0,25 421 403 5,58 7 62.190,68 5,384 5,754
800.000,00 - 850.000,00 2 1.682.940,63 0,19 360 343 5,73 8 41.470,32 5,613 5,848
900.000,00 - 950.000,00 2 1.836.824,38 0,20 390 371 5,55 9 18.412,19 5,250 5,861
950.000,00 - 1.000.000,00 2 1.957.496,91 0,22 480 461 5,71 9 78.748,46 5,584 5,834
1.200.000,00 - 1.250.000,00 1 1.231.578,60 0,14 408 400 5,77 1.231.578,60 5,773 5,773
,TOTALES 4.559 9 07.737.572,79 100,00 386 364 5,96 199.108,92 2,750 7,450
63,
