Cartera de préstamos hipotecarios al día 04.11.2014
Clasificación por año de formalización del préstamo,,
Año de formalización,Préstamos hipotecarios
%,Principal pendiente
(euros) %
2009,2.600 25,33,205.253.364,02 25,12
2010,2.960 28,84,237.617.649,18 29,08
2011,1.485 14,47,135.791.803,09 16,62
2012,255 2,48,20.715.621,02 2,53
2013,11 0,11,913.335,87 0,11
2014,2 0,02,172.263,69 0,02
Total 10.263 100,00 817.191.902,31 100,00,,
59,30 Meses Antigüedad media po nd erada
98,93 Meses Antigüedad máxima
6,58 Meses Antigüedad mínima,,
