Cartera de préstamos hipotecarios al día 04.11.2014
Clasificación por la fecha vencimiento final,,,
Año de Amortización Final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2031,36 0,35,2.478.397,18 0,30,204,16 05/11/2031
2032,963 9,38,70.216.889,59 8,59,213,75 23/08/2032
2033,1.951 19,01,143.998.733,36 17,62,225,17 05/08/2033
2034,2.694 26,25,211.554.378,03 25,89,237,10 03/08/2034
2035,2.733 26,63,221.514.473,39 27,11,248,23 07/07/2035
2036,1.505 14,66,135.665.342,12 16,60,260,08 02/07/2036
2037,158 1,54,13.398.975,29 1,64,272,40 12/07/2037
2038,13 0,13,1.023.616,76 0,13,283,38 11/06/2038
2039,8 0,08,799.763,24 0,10,296,29 08/07/2039
2040,131 1,28,8.625.357,94 1,06,305,87 25/04/2040
2041,13 0,13,1.227.086,93 0,15,319,87 24/06/2041
