,31/12/2012,31/12/2013,30/09/2014
,,,
OPERACIONES CONTINUADAS,,,
Importe neto de la cifra de negocios,8.948,7.544,5.086
Otros ingresos de explotación,40,25,2
Gastos de personal,-1.163,-1.050,-837
Otros gastos de explotación,-5.161,-4.299,-3.388
Amortización del inmovilizado,-,-,-
Deterioro y resultado por enajenaciones del inmovilizado,-,-,-
,,,
RESULTADO DE EXPLOTACIÓN,2.664,2.220,863
,,,
Ingresos financieros,-,-,-
De valores negociables y otros instrumentos financieros,-,-,-
,,,
RESULTADO FINANCIERO,-,-,-
RESULTADO ANTES DE IMPUESTOS,2.664,2.220,863
Impuestos sobre beneficios,-803,-667,-259
RESULTADO DEL EJERCICIO PROCEDENTE DE OPERACIONES CONTINUADAS,1.861,1.553,604
,,,
OPERACIONES INTERRUMPIDAS,-,-,-
Resultado del ejercicio procedente de operaciones interrumpidas neto de impuesto,-,-,-
RESULTADO DEL EJERCICIO,1.861,1.553,604
