Cartera de préstamos hipotecarios al día 30.06.2007
Clasificación por principal pendiente,,
Préstamos
Intervalo de principal Principal pendiente
hipotecarios
(en euros) Nº. % (euros) %,,
200.000,00 -224.999,99,992 6,63,209.481.876,43 9,17
225.000,00 -249.999,99,726 4,85,171.844.090,61 7,52
250.000,00 -274.999,99,372 2,49,97.149.663,75 4,25
275.000,00 -299.999,99,249 1,66,71.555.763,47 3,13
300.000,00 -324.999,99,139 0,93,43.122.553,46 1,89
325.000,00 -349.999,99,114 0,76,38.534.610,33 1,69
350.000,00 -374.999,99,120 0,80,43.365.004,15 1,90
375.000,00 -399.999,99,95 0,63,36.705.405,91 1,61
400.000,00 -424.999,99,60 0,40,24.810.771,59 1,09
425.000,00 -449.999,99,33 0,22,14.384.708,14 0,63
450.000,00 -474.999,99,28 0,19,12.877.347,31 0,56
475.000,00 -499.999,99,20 0,13,9.740.786,96 0,43
500.000,00 -524.999,99,13 0,09,6.640.729,33 0,29
525.000,00 -549.999,99,17 0,11,9.097.050,85 0,40
Total 14.964 100,00 2.285.398.080,95 100,00,,
Principal medio: 152.726,42
Principal mínimo: 1.165,82
Principal máximo: 546.336,38,,
