Cartera de préstamos hipotecarios al día 30.06.2007
Clasificación por fecha formalización del préstamo,,
Intervalo de fechas,Préstamos hipotecarios
%,Principal pendiente
(euros) %
01/01/2000 a 30/06/2000,1 0,007,70.614,48 0,003
01/07/2000 a 31/12/2000,1 0,007,116.375,44 0,005
01/01/2001 a 30/06/2001,1 0,007,115.215,22 0,005
01/07/2001 a 31/12/2001,7 0,047,710.191,19 0,031
01/01/2002 a 30/06/2002,9 0,060,910.528,12 0,040
01/07/2002 a 31/12/2002,16 0,107,1.947.528,31 0,085
01/01/2003 a 30/06/2003,32 0,214,3.631.340,04 0,159
01/07/2003 a 31/12/2003,24 0,160,3.563.117,37 0,156
01/01/2004 a 30/06/2004,65 0,434,8.377.738,38 0,367
01/07/2004 a 31/12/2004,159 1,063,21.894.344,24 0,958
01/01/2005 a 30/06/2005,315 2,105,42.438.764,41 1,857
01/07/2005 a 31/12/2005,2.063 13,786,312.294.812,26 13,665
01/01/2006 a 30/06/2006,4.362 29,150,667.368.846,15 29,201
01/07/2006 a 31/12/2006,7.909 52,854,1.221.958.665,34 53,468
Total,14.964 100,00,2.285.398.080,95 100,00
,13,09 Meses
84,07 Meses
6,02 Meses,Antigüedad media po nd erada
Antigüedad máxima
Antigüedad mínima
