Cartera de préstamos hipotecarios al día 30.06.2007
Clasificación por la fecha amortización final,,,
Año de Amortización Final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2008,1 0,01,5.070,22 0,00,8,18 5/03/2008
2009,2 0,01,26.261,25 0,00,24,54 16/07/2009
2010,1 0,01,35.212,51 0,00,40,08 1/11/2010
2011,8 0,05,484.916,53 0,02,50,03 31/08/2011
2012,5 0,03,214.497,40 0,01,59,05 31/05/2012
2013,12 0,08,498.078,14 0,02,71,63 18/06/2013
2014,15 0,10,868.159,63 0,04,84,24 7/07/2014
2015,35 0,23,2.245.381,46 0,10,98,24 6/09/2015
2016,72 0,48,5.829.198,70 0,26,109,95 28/08/2016
2017,26 0,17,1.966.916,57 0,09,119,65 19/06/2017
2018,39 0,26,3.130.485,22 0,14,133,60 17/08/2018
2019,42 0,28,3.377.580,90 0,15,145,75 22/08/2019
2020,140 0,94,12.635.507,71 0,55,157,77 22/08/2020
2021,220 1,47,21.936.125,76 0,96,168,79 23/07/2021
2022,43 0,29,3.470.309,23 0,15,178,72 22/05/2022
2023,40 0,27,4.581.437,91 0,20,193,76 23/08/2023
2024,61 0,41,6.698.590,54 0,29,205,50 14/08/2024
2025,148 0,99,19.815.592,39 0,87,217,92 27/08/2025
2026,588 3,93,64.950.901,48 2,84,228,97 29/07/2026
2027,69 0,46,9.211.344,06 0,40,238,62 19/05/2027
2028,73 0,49,9.597.488,29 0,42,252,28 8/07/2028
2029,120 0,80,16.851.421,54 0,74,264,86 26/07/2029
2030,235 1,57,31.381.479,23 1,37,277,59 17/08/2030
2031,937 6,26,122.828.859,82 5,37,288,54 16/07/2031
2032,108 0,72,15.958.478,48 0,70,298,67 20/05/2032
2033,104 0,70,16.074.531,69 0,70,313,21 5/08/2033
2034,214 1,43,33.368.788,06 1,46,325,25 7/08/2034
2035,980 6,55,153.887.094,57 6,73,337,99 30/08/2035
2036,3.133 20,94,480.470.927,28 21,02,348,05 1/07/2036
2037,117 0,78,17.501.873,65 0,77,357,06 1/04/2037
2038,43 0,29,7.790.695,96 0,34,375,31 9/10/2038
2039,66 0,44,11.334.701,92 0,50,386,44 12/09/2039
2040,686 4,58,107.808.391,18 4,72,399,09 1/10/2040
2041,3.447 23,04,553.632.019,62 24,22,407,85 25/06/2041
2042,95 0,63,15.370.947,33 0,67,417,39 11/04/2042
