Fecha,EURIBOR 3m,Serie A,Serie B
3/03/05,2,135,2,255,2,485
25/01/05,2,144,2,264,2,494
24/01/05,2,143,2,263,2,493
21/01/05,2,143,2,263,2,493
20/01/05,2,144,2,264,2,494
19/01/05,2,143,2,263,2,493
31/12/04,2,155,2,275,2,505
30/11/04,2,176,2,296,2,526
29/10/04,2,153,2,273,2,503
30/09/04,2,15,2,27,2,5
31/08/04,2,115,2,235,2,465
30/07/04,2,116,2,236,2,466
30/06/04,2,12,2,24,2,47
31/05/04,2,087,2,207,2,437
30/04/04,2,073,2,193,2,423
31/03/04,1,958,2,078,2,308
27/02/04,2,052,2,172,2,402
30/01/04,2,093,2,213,2,443
