Cartera de préstamos hipotecarios al día 13.03.2007
Clasificación por principal pendiente,,,,
Intervalo de principal
(en euros),Préstamos hipotecarios
Nº. %,Principal pendiente
(euros) %,,
225.000,00 -249.999,99,222 1,20,52.459.461,23 2,88,,
250.000,00 -274.999,99,110 0,60,28.904.072,13 1,59,,
275.000,00 -299.999,99,76 0,41,21.860.742,40 1,20,,
300.000,00 -324.999,99,39 0,21,12.116.453,85 0,66,,
325.000,00 -349.999,99,16 0,09,5.357.414,43 0,29,,
350.000,00 -374.999,99,27 0,15,9.679.966,99 0,53,,
375.000,00 -399.999,99,15 0,08,5.790.491,03 0,32,,
400.000,00 -424.999,99,14 0,08,5.748.055,98 0,32,,
425.000,00 -449.999,99,6 0,03,2.615.641,18 0,14,,
450.000,00 -474.999,99,5 0,03,2.313.580,98 0,13,,
475.000,00 -499.999,99,4 0,02,1.951.137,33 0,11,,
Total 18.434 100,00 1.823.350.343,60 100,00,,,,
,Principal medio:,98.912,35,,
,Principal mínimo:,97,67,,
,Principal máximo:,495.877,25,,
