AyT Goya Hipotecario IV, FTA
Distribución según tipología garantía principal
T B i i p e o n P N ré ú s m ta e m ro o s % p r s é o s b t r a e m t o o s tal S V a i l v d o o % V S iv a o ldo Sa M ld e o d V io ivo T M ip e o d io d e p o in n t d e e ré r. s Vid M a e d re ia s i p d o u n al d a e ñ r. os An M t e ig d ü ia e d p a o d n d a e ñ r os Saldo Inicial Pl m az e o d i T a o p ta o l n a d ñ e o r s

Primera vivienda 8.829 89,63% 1.282.523.322,89 88,60% 145.262,58 1,84% 25,12 1,62 1.386.713.998,51 26,75
Segunda vivienda 543 5,51% 88.527.781,85 6,12% 163.034,59 2,04% 21,20 2,43 98.410.537,02 23,63
Local comercial 212 2,15% 32.214.156,78 2,23% 151.953,57 2,11% 17,71 2,80 37.057.702,36 20,51
Otras garantias hipotecarias 107 1,09% 16.446.319,29 1,14% 153.703,92 1,92% 23,79 2,20 19.502.788,00 25,99
Finca rustica 103 1,05% 18.214.595,81 1,26% 176.840,74 1,89% 22,23 2,32 21.462.683,76 24,55
Vivienda para despacho u oficina 28 0,28% 4.814.057,89 0,33% 171.930,64 2,04% 17,71 2,84 5.664.224,20 20,55
Nave industrial 29 0,29% 4.727.753,82 0,33% 163.025,99 2,23% 16,61 2,34 5.513.209,69 18,95

Totales 9.851 100% 1.447.467.988,33 100% 146.936,15 1,86% 24,61 1,72 1.574.325.143,54 26,33

