AyT Goya Hipotecario IV, FTA
Distribución por Año de Vencimiento
Ven A c ñ i o m d ie e n to P N ré ú s m ta e m ro o s % p r s é o s b t r a e m t o o s tal S V a i l v d o o % V S iv a o ldo Sa M ld e o d V io ivo T M ip e o d io d e p o in n t d er e é r s . Vid M a e d re ia s i p d o u n a d l a e ñ r. os An M t e ig d ü ia e d p a o d n d a e ñ r os Saldo Inicial Pl m az e o d i T a o p ta o l n a d ñ e o r s

Antes de 2014 5 0,05% 473.957,76 0,03% 94.791,55 2,03% 2,33 2,55 1.046.500,00 4,88
En 2014 9 0,09% 957.473,48 0,07% 106.385,94 1,84% 3,29 4,67 2.668.905,31 7,96
En 2015 18 0,18% 750.564,21 0,05% 41.698,01 1,91% 4,25 3,02 1.438.835,85 7,27
En 2016 21 0,21% 2.383.877,59 0,16% 113.517,98 2,22% 5,43 3,36 3.893.786,04 8,80
En 2017 53 0,54% 4.087.058,73 0,28% 77.114,32 2,07% 6,39 3,12 6.000.596,84 9,51
En 2018 95 0,96% 6.743.397,17 0,47% 70.983,13 2,03% 7,39 2,65 9.245.885,14 10,04
En 2019 105 1,07% 8.223.584,45 0,57% 78.319,85 2,06% 8,32 2,22 11.036.316,26 10,54
En 2020 167 1,70% 11.611.857,55 0,80% 69.532,08 1,89% 9,28 1,83 13.903.012,64 11,11
En 2021 93 0,94% 8.377.819,94 0,58% 90.084,09 1,99% 10,34 2,92 10.762.930,65 13,26
En 2022 159 1,61% 17.920.187,43 1,24% 112.705,58 1,97% 11,40 2,31 23.211.131,08 13,70
En 2023 212 2,15% 23.708.711,94 1,64% 111.833,55 1,98% 12,31 2,59 28.760.751,85 14,89
En 2024 229 2,32% 21.159.307,01 1,46% 92.398,72 2,00% 13,35 1,87 24.255.130,06 15,22
En 2025 402 4,08% 42.993.247,09 2,97% 106.948,38 1,94% 14,27 1,43 47.053.849,59 15,71
En 2026 155 1,57% 20.201.317,83 1,40% 130.331,08 1,99% 15,36 3,30 23.334.588,43 18,66
En 2027 264 2,68% 34.652.719,20 2,39% 131.260,30 1,99% 16,34 2,73 39.830.975,47 19,07
En 2028 329 3,34% 37.180.832,00 2,57% 113.011,65 1,88% 17,28 2,37 42.743.365,70 19,65
En 2029 308 3,13% 40.068.772,82 2,77% 130.093,42 1,89% 18,32 1,81 44.711.408,62 20,13
En 2030 600 6,09% 70.396.991,94 4,86% 117.328,32 1,87% 19,27 1,12 74.992.063,94 20,39
En 2031 175 1,78% 23.571.979,34 1,63% 134.697,02 1,81% 20,31 2,04 26.609.040,37 22,34
En 2032 280 2,84% 40.150.552,81 2,77% 143.394,83 1,84% 21,33 2,16 45.297.666,02 23,48
En 2033 353 3,58% 46.058.547,62 3,18% 130.477,47 1,85% 22,29 2,14 50.690.779,05 24,43
En 2034 424 4,30% 58.898.469,63 4,07% 138.911,48 1,83% 23,34 1,83 64.138.215,45 25,17
En 2035 783 7,95% 109.995.012,31 7,60% 140.478,94 1,83% 24,29 1,24 115.260.501,59 25,53
En 2036 307 3,12% 53.232.549,88 3,68% 173.395,93 1,82% 25,34 2,61 60.073.595,60 27,95
En 2037 480 4,87% 88.140.499,28 6,09% 183.626,04 1,83% 26,39 2,75 96.651.274,62 29,15
En 2038 659 6,69% 116.975.945,42 8,08% 177.505,23 1,83% 27,24 2,36 127.392.281,10 29,60
En 2039 527 5,35% 95.917.724,08 6,63% 182.007,07 1,89% 28,36 1,44 101.943.979,40 29,81
En 2040 1764 17,91% 305.414.092,27 21,10% 173.137,24 1,82% 29,27 0,75 313.471.720,34 30,01
En 2049 875 8,88% 157.220.937,55 10,86% 179.681,07 1,87% 33,94 1,76 163.906.056,53 35,70

Totales 9851 100% 1 .447.467.988,33 100% 146.936,15 1,86% 24,61 1,72 1.574.325.143,54 26,33
Primer VTO 11/10/2012
Último VTO 15/04/2049
VTO Medio octubre-35
